,Unnamed: 0,Ticker,ESG Score,Country
2061,2061,VEMAX,27.17,USA
2062,2062,EPEIX,26.81,USA
2063,2063,RYZCX,34.04,USA
2064,2064,FTAGX,22.82,USA
2065,2065,CMGYX,22.5,USA
2066,2066,HCPCX,22.79,USA
2067,2067,VWUSX,21.19,USA
2068,2068,FSMEX,27.15,USA
2069,2069,RCSIX,27.05,Sweden
2070,2070,RSDGX,26.47,USA
2071,2071,FPCGX,22.82,USA
2072,2072,VEXRX,25.55,USA
2073,2073,VSMAX,26.39,USA
2074,2074,MSIGX,21.72,USA
2075,2075,MXXIX,22.18,USA
2076,2076,MFBKX,23.25,USA
2077,2077,VCIEX,22.38,USA
2078,2078,S1068.MC,22.99,Spain
2079,2079,ARORX,23.04,USA
2080,2080,HDVYX,23.12,USA
2081,2081,FTGFX,23.07,USA
2082,2082,IBSAX,23.73,USA
2083,2083,RYEIX,35.21,USA
2084,2084,TEDIX,24.7,USA
2085,2085,HAMGX,23.28,USA
2086,2086,OBIOX,26.16,USA
2087,2087,ICTEX,20.61,USA
2088,2088,IRPVX,23.92,USA
2089,2089,GDSTX,28.93,USA
2090,2090,CCCNX,32.5,USA
2091,2091,BX+CAPB-5.MX,29.51,Mexico
2092,2092,GSQRX,28.9,USA
2093,2093,KLCAX,22.45,USA
2094,2094,PAGYX,22.9,USA
2095,2095,VNVCX,26.0,USA
2096,2096,FVLCX,22.06,USA
2097,2097,OGLIX,20.15,USA
2098,2098,MSVZX,26.64,USA
2099,2099,NWNIX,23.87,USA
2100,2100,GFAFX,23.63,USA
2101,2101,FNPIX,20.65,USA
2102,2102,QDVAX,24.4,USA
2103,2103,RGBCX,24.13,USA
2104,2104,VTIAX,24.19,USA
2105,2105,MLOZX,30.28,USA
2106,2106,PRMSX,24.2,USA
2107,2107,VSVGX,21.71,USA
2108,2108,BRAGX,22.67,USA
2109,2109,EKWAX,33.66,USA
2110,2110,UGLSX,20.58,USA
2111,2111,PGINX,20.09,USA
2112,2112,CUSYX,27.54,USA
2113,2113,OARMX,24.67,USA
2114,2114,WTSVX,28.24,USA
2115,2115,JNRRX,35.14,USA
2116,2116,MLPLX,36.49,USA
2117,2117,BRECX,21.04,USA
2118,2118,OPTFX,21.5,USA
2119,2119,INRSX,29.65,USA
2120,2120,VALMXAB1.MX,24.92,Canada
2121,2121,VEVYX,23.66,USA
2122,2122,MTPIX,24.04,USA
2123,2123,AAUTX,23.59,USA
2124,2124,VAMGX,24.99,USA
2125,2125,CUHAX,23.33,USA
2126,2126,SEKAX,25.94,USA
2127,2127,WLCAX,23.68,USA
2128,2128,UCEQX,23.71,USA
2129,2129,JTUAX,28.73,USA
2130,2130,FLICX,21.56,USA
2131,2131,IARRX,15.76,USA
2132,2132,MAPTX,24.97,USA
2133,2133,DISYX,19.9,USA
2134,2134,JCVSX,25.64,USA
2135,2135,MIQPX,21.61,USA
2136,2136,LBRIX,22.01,USA
2137,2137,NDACX,23.9,USA
2138,2138,TSFCX,25.18,USA
2139,2139,TILRX,21.14,USA
2140,2140,RSINX,25.98,USA
2141,2141,JRTYX,23.23,USA
2142,2142,MFLDX,24.03,USA
2143,2143,TWCUX,21.51,USA
2144,2144,LBHFX,32.89,USA
2145,2145,AIGPX,24.52,USA
2146,2146,VICSX,24.15,USA
2147,2147,CBMAX,24.85,USA
2148,2148,ITYYX,20.32,USA
2149,2149,LVOYX,25.7,USA
2150,2150,WFLWX,24.52,USA
2151,2151,QALTX,24.38,Sweden
2152,2152,GHACX,32.7,USA
2153,2153,PRGSX,23.66,USA
2154,2154,TEPLX,23.07,USA
2155,2155,FLATX,31.04,USA
2156,2156,FDEQX,21.11,USA
2157,2157,CIVVX,23.84,USA
2158,2158,YMLA.SG,23.23,Germany
2159,2159,LUSAX,28.41,USA
2160,2160,LMPEX,21.68,USA
2161,2161,ECDIX,22.0,USA
2162,2162,NEFOX,24.65,USA
2163,2163,IEMYX,24.55,USA
2164,2164,TRIEX,22.34,USA
2165,2165,PZASX,22.97,USA
2166,2166,WIREX,19.97,USA
2167,2167,JARTX,21.33,USA
2168,2168,DHMIX,27.54,USA
2169,2169,MRESX,16.15,USA
2170,2170,FCISX,27.6,USA
2171,2171,NWNAX,23.87,USA
2172,2172,LAVQX,23.97,USA
2173,2173,CLSPX,22.5,USA
2174,2174,UAPIX,29.3,USA
2175,2175,JALBX,24.67,USA
2176,2176,VVOIX,25.8,USA
2177,2177,QISGX,28.75,USA
2178,2178,MQIFX,24.4,USA
2179,2179,CGRWX,26.54,USA
2180,2180,CAMZX,26.74,USA
2181,2181,WFPDX,22.01,USA
2182,2182,CWMEX,23.2,USA
2183,2183,GSROX,28.9,USA
2184,2184,ADGRX,21.23,USA
2185,2185,VGSNX,15.86,USA
2186,2186,LGLFX,23.6,USA
2187,2187,WFIOX,22.05,USA
2188,2188,FRVLX,29.21,USA
2189,2189,JRTDX,23.68,USA
2190,2190,PINQX,24.21,USA
2191,2191,RGIAX,23.28,USA
2192,2192,RRTBX,23.99,USA
2193,2193,RICGX,23.49,USA
2194,2194,ESVCX,24.26,USA
2195,2195,DNEMX,26.22,USA
2196,2196,IICWX,22.09,USA
2197,2197,AFGGX,22.46,USA
2198,2198,ISSPX,23.03,USA
2199,2199,WPOIX,21.91,USA
2200,2200,VVOCX,25.8,USA
2201,2201,ZSCCX,29.55,USA
2202,2202,ICMBX,22.44,USA
2203,2203,AGGWX,32.03,USA
2204,2204,UIPMX,33.31,USA
2205,2205,LPJKX,23.78,USA
2206,2206,WMMRX,17.67,USA
2207,2207,TEDMX,25.78,USA
2208,2208,OIERX,22.92,USA
2209,2209,QICNX,22.4,USA
2210,2210,BRBPX,22.32,USA
2211,2211,ACSYX,26.27,USA
2212,2212,FMIMX,23.75,USA
2213,2213,SVAIX,25.13,USA
2214,2214,JSMGX,27.02,USA
2215,2215,HLGEX,22.84,USA
2216,2216,JGMAX,27.02,USA
2217,2217,RWIFX,22.7,USA
2218,2218,LZSCX,24.98,USA
2219,2219,PTSGX,21.59,USA
2220,2220,FFACX,24.67,USA
2221,2221,CNCIX,25.45,USA
2222,2222,VSCOX,27.78,USA
2223,2223,FBTIX,30.56,USA
2224,2224,IFACX,24.39,USA
2225,2225,BOPRX,21.41,USA
2226,2226,PSVIX,27.35,USA
2227,2227,FCCGX,27.47,USA
2228,2228,BWLCX,23.2,USA
2229,2229,TIQRX,22.69,USA
2230,2230,PVADX,27.35,USA
2231,2231,QILGX,20.32,USA
2232,2232,WGIFX,22.7,USA
2233,2233,BUFBX,23.39,USA
2234,2234,MGXIX,22.55,USA
2235,2235,JLDGX,24.81,USA
2236,2236,MFOIX,21.63,USA
2237,2237,AADTX,23.45,USA
2238,2238,MDBAX,25.01,USA
2239,2239,MDISX,24.7,USA
2240,2240,EIVFX,24.11,USA
2241,2241,JVLAX,23.43,USA
2242,2242,GAGCX,22.93,USA
2243,2243,S3093.MC,23.13,Spain
2244,2244,WMGRX,23.41,USA
2245,2245,ANORX,26.5,USA
2246,2246,GNDIX,22.08,USA
2247,2247,JPPNX,24.85,USA
2248,2248,LAMAX,20.88,USA
2249,2249,JICAX,17.61,USA
2250,2250,WHGIX,23.97,USA
2251,2251,SCHAX,23.68,USA
2252,2252,WAINX,24.7,USA
2253,2253,RGAEX,23.63,USA
2254,2254,AVFIX,28.39,USA
2255,2255,PIEJX,25.88,USA
2256,2256,JDVOX,23.27,USA
2257,2257,IVAEX,23.82,USA
2258,2258,FRBFX,29.23,USA
2259,2259,SBSPX,21.76,USA
2260,2260,TGVRX,21.75,USA
2261,2261,IJMSX,23.68,USA
2262,2262,FSENX,34.83,USA
2263,2263,PNBCX,22.31,USA
2264,2264,FLPKX,21.88,USA
2265,2265,JORCX,22.77,USA
2266,2266,VWIGX,21.91,USA
2267,2267,TOLIX,22.98,USA
2268,2268,TSGLX,23.11,USA
2269,2269,SUHAX,26.31,USA
2270,2270,FGEAX,20.35,USA
2271,2271,OPWAF.AS,23.41,Netherlands
2272,2272,HHCZX,26.91,USA
2273,2273,DLPCX,17.25,USA
2274,2274,DFIVX,24.81,USA
2275,2275,VDADX,22.1,USA
2276,2276,JAVTX,27.22,USA
2277,2277,VACVX,25.34,USA
2278,2278,MLABX,20.01,USA
2279,2279,DTMIX,24.67,USA
2280,2280,ROBB.AS,20.05,Netherlands
2281,2281,QISCX,28.84,USA
2282,2282,PHPIX,31.79,USA
2283,2283,HSLYX,28.82,USA
2284,2284,BIOIX,23.7,USA
2285,2285,FBALX,23.49,USA
2286,2286,TMCIX,25.77,USA
2287,2287,NWWHX,23.9,USA
2288,2288,NBMBX,23.42,USA
2289,2289,HILRX,25.94,USA
2290,2290,PURZX,16.16,USA
2291,2291,BIFRX,22.74,USA
2292,2292,AMRMX,22.63,USA
2293,2293,WFQFX,24.52,USA
2294,2294,HMVJX,26.31,USA
2295,2295,ERSMX,23.41,USA
2296,2296,VSMIX,27.87,USA
2297,2297,FVRMX,30.7,USA
2298,2298,DRLYX,15.01,USA
2299,2299,HQICX,24.26,USA
2300,2300,CNGAX,22.69,USA
2301,2301,FHKCX,25.04,USA
2302,2302,SCDGX,22.02,USA
2303,2303,OAKLX,23.59,USA
2304,2304,IVKIX,26.27,USA
2305,2305,PABBX,22.97,USA
2306,2306,ARTGX,22.13,USA
2307,2307,VTPSX,24.19,USA
2308,2308,ISCSX,22.06,USA
2309,2309,JIVRX,23.1,USA
2310,2310,WPSIX,20.1,USA
2311,2311,FIDSX,25.41,USA
2312,2312,RYVPX,28.19,USA
2313,2313,VIVIX,24.15,USA
2314,2314,TOLCX,22.98,USA
2315,2315,MPSSX,29.04,USA
2316,2316,JLHHX,23.92,USA
2317,2317,JAAGX,22.43,USA
2318,2318,SECIX,26.19,USA
2319,2319,FQUAX,24.78,USA
2320,2320,KGDAX,27.14,USA
2321,2321,MRRFX,24.14,USA
2322,2322,IJPTX,23.7,USA
2323,2323,FRINX,20.19,USA
2324,2324,VSEQX,24.02,USA
2325,2325,RWIBX,22.7,USA
2326,2326,RYMIX,20.8,USA
2327,2327,QUSOX,25.65,USA
2328,2328,PCANX,21.59,USA
2329,2329,EKBCX,24.43,USA
2330,2330,OEICX,22.05,USA
