,Company name,Target value,Sector
795,Heimstaden Bostad AB,0.42,Real Estate
796,Heinz Glas Dzialdowo Sp Z.o.o.c,1.0,Containers and Packaging
797,"Heiwa Real Estate Co., Ltd.",0.5,Real Estate
798,Helen Ltd,0.77,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
799,Helen of Troy Limited,0.462,"Consumer Durables, Household and Personal Products"
800,Hellenic Cables,1.0,Electrical Equipment and Machinery
801,Hempel A/S,0.9,Chemicals
802,Henkel AG & Co. KGaA,1.0,"Consumer Durables, Household and Personal Products"
803,Hera,1.0,Solid Waste Management Utilities
804,Herbert Smith Freehills,0.55,Professional Services
805,Hermès International,1.0,"Textiles, Apparel, Footwear and Luxury Goods"
806,Hersha Hospitality Trust,0.46,Real Estate
807,Hewlett Packard Enterprise Company,0.96,Technology Hardware and Equipment
808,Hg Capital,1.0,"Banks, Diverse Financials, Insurance"
809,Hiflux Filtration A/S,0.5,Construction and Engineering
810,Hilton,0.462,"Hotels, Restaurants and Leisure, and Tourism Services"
811,Hilton Food Group,0.25,Food and Beverage Processing
812,Hindustan Zinc Limited,0.2,"Mining - Iron, Aluminum, Other Metals"
813,Hinomaru Jidousya Co.Ltd,0.42,Ground Transportation - Trucking Transportation
814,Hitachi Construction Machinery Co. LTD,0.45,Electrical Equipment and Machinery
815,"Hitachi, Ltd.",1.0,Technology Hardware and Equipment
816,HoWe Wurstwaren KG,0.46,Food and Beverage Processing
817,Hochland Deutschland GmbH,1.0,Food and Beverage Processing
818,Holcim Ltd.,0.65,Construction Materials
819,Holmen AB,0.35,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
820,Holocene UG (haftungsbeschränkt),0.5,Software and Services
821,"Holt, Renfrew & Co., Limited",0.67,Retailing
822,"Home search Co.,Ltd.",0.42,Real Estate
823,Hongkong Land Holdings Limited,0.462,Real Estate
824,Hopkins Architects Limited,0.46,Professional Services
825,"Hoso Industry co.,ltd",0.42,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
826,"Host Hotels & Resorts, Inc.",0.55,Real Estate
827,House of Baukjen,0.5,"Textiles, Apparel, Footwear and Luxury Goods"
828,Hoyer Handel GmbH,0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
829,"Hudson Pacific Properties, Inc.",0.5,Real Estate
830,Hufvudstaden AB,0.46,Real Estate
831,Hugh Lowe Farms Ltd,0.42,Food Production - Agricultural Production
832,Hugo Boss AG,0.51,"Textiles, Apparel, Footwear and Luxury Goods"
833,Huhtamäki Oyj,0.7,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber"
834,Hulamin,0.3,"Mining - Iron, Aluminum, Other Metals"
835,"Hulic Co., Ltd.",1.0,Real Estate
836,Humanscale,0.75,"Consumer Durables, Household and Personal Products"
837,Humlegården Fastigheter AB,0.46,Real Estate
838,Husqvarna AB,0.35,"Consumer Durables, Household and Personal Products"
839,"Hwa Meei Optical Co., Ltd",0.42,"Consumer Durables, Household and Personal Products"
840,Hyatt,0.53,"Hotels, Restaurants and Leisure, and Tourism Services"
841,Höegh Autoliners,0.3,Water Transportation - Water Transportation
842,ICA Gruppen,0.7,Food and Staples Retailing
843,ICF,1.0,Professional Services
844,"ICHIKAWA IRONWORKS CO., LTD",0.46,Automobiles and Components
845,IG International Private Limited,0.23,Food and Staples Retailing
846,IK Investment Partners Limited,1.0,"Banks, Diverse Financials, Insurance"
847,IKEA,0.8,Retailing
848,INDURA,0.42,"Trading Companies and Distributors, and Commercial Services and Supplies"
849,INWIT (Infrastrutture Wireless Italiane SpA),0.42,Telecommunication Services
850,IPUT Plc,0.46,Real Estate
851,"IREC Co.,Ltd.",0.42,Chemicals
852,ITALBRONZE LTDA,0.46,"Mining - Iron, Aluminum, Other Metals"
853,ITR Concession Company LLC,0.5,Ground Transportation - Highways and Railtracks
854,ITV,1.0,Media
855,"IWATA&CO.,LTD",0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
856,Ib Andresen Industri A/S,0.5,Construction Materials
857,Iberdrola SA,0.85,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
