,Ticker,ESG Score
2038,DWWM.SW,31.79
2039,MPMCX,23.9
2040,LCDRX,33.71
2041,DFPIX,20.91
2042,HERAX,27.4
2043,EAIDX,23.68
2044,RPRCX,24.99
2045,INPFX,24.72
2046,JYJ7.SW,32.49
2047,JLCVX,22.81
2048,TRSSX,28.53
2049,DEVIX,27.9
2050,VGENX,31.32
2051,MXTMX,24.65
2052,TRRKX,23.31
2053,TEQCX,21.38
2054,NQVCX,25.02
2055,TGIGX,24.27
2056,NIQVX,19.54
2057,RRRAX,16.9
2058,HSAFX,23.46
2059,URTAX,15.46
2060,S1029.MC,24.98
2061,VEMAX,27.17
2062,EPEIX,26.81
2063,RYZCX,34.04
2064,FTAGX,22.82
2065,CMGYX,22.5
2066,HCPCX,22.79
2067,VWUSX,21.19
2068,FSMEX,27.15
2069,RCSIX,27.05
2070,RSDGX,26.47
2071,FPCGX,22.82
2072,VEXRX,25.55
2073,VSMAX,26.39
2074,MSIGX,21.72
2075,MXXIX,22.18
2076,MFBKX,23.25
2077,VCIEX,22.38
2078,S1068.MC,22.99
2079,ARORX,23.04
2080,HDVYX,23.12
2081,FTGFX,23.07
2082,IBSAX,23.73
2083,RYEIX,35.21
2084,TEDIX,24.7
2085,HAMGX,23.28
2086,OBIOX,26.16
2087,ICTEX,20.61
2088,IRPVX,23.92
2089,GDSTX,28.93
2090,CCCNX,32.5
2091,BX+CAPB-5.MX,29.51
2092,GSQRX,28.9
2093,KLCAX,22.45
2094,PAGYX,22.9
2095,VNVCX,26.0
2096,FVLCX,22.06
2097,OGLIX,20.15
2098,MSVZX,26.64
2099,NWNIX,23.87
2100,GFAFX,23.63
2101,FNPIX,20.65
2102,QDVAX,24.4
2103,RGBCX,24.13
2104,VTIAX,24.19
2105,MLOZX,30.28
2106,PRMSX,24.2
2107,VSVGX,21.71
2108,BRAGX,22.67
2109,EKWAX,33.66
2110,UGLSX,20.58
2111,PGINX,20.09
2112,CUSYX,27.54
2113,OARMX,24.67
2114,WTSVX,28.24
2115,JNRRX,35.14
2116,MLPLX,36.49
2117,BRECX,21.04
2118,OPTFX,21.5
2119,INRSX,29.65
2120,VALMXAB1.MX,24.92
2121,VEVYX,23.66
2122,MTPIX,24.04
2123,AAUTX,23.59
2124,VAMGX,24.99
2125,CUHAX,23.33
2126,SEKAX,25.94
2127,WLCAX,23.68
2128,UCEQX,23.71
2129,JTUAX,28.73
2130,FLICX,21.56
2131,IARRX,15.76
2132,MAPTX,24.97
2133,DISYX,19.9
